# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
7.050000000000000000e+01 1.951606245572114176e+03 -7.592229018251075878e+00 9.924073656300786972e-01 -4.589074306055243468e+00 -2.317161369768538037e+00 3.996420387362117355e-01 2.221091507131503148e-03 -5.431325527332274070e-03 -8.897313327248641823e-03
1.065000000000000000e+02 2.902819190769810575e+03 -2.548006058782060990e+01 -4.358128493183563990e-01 -2.599246481539189801e+01 4.984500381604859420e-01 8.631540393832712876e-01 4.528022554643926917e-02 -2.993539147697251573e-02 -1.466847340992129094e-02
1.425000000000000000e+02 3.975134414108950295e+03 -4.376870499709090723e+01 -8.119775914249336424e-01 -4.238052046375591431e+01 -1.416862473382460186e+00 1.133119757414708939e+00 3.288341553305156040e-02 1.783837892536256631e-02 -5.592535289125122322e-03
1.785000000000000000e+02 5.034838721461591376e+03 -3.603485989446103588e+01 9.067069409511190337e-01 -3.519114095343138615e+01 5.213315124519297683e-01 8.710543816238796033e-01 1.319986012172314968e-02 -8.468701334317736609e-04 -3.339134078930960925e-02
2.145000000000000000e+02 5.640152306516882163e+03 3.816815033227161091e+00 -1.182549582914022013e+00 5.568641299112064402e+00 -1.232642318733118580e+00 8.073613272408469710e-01 -4.368061040745396806e-02 1.297591565018767906e-02 4.094272819324977497e-02
2.505000000000000000e+02 5.386677270640610914e+03 6.172970673074925685e+01 -2.913670252217543499e+00 6.346043919846121639e+01 -2.046390074626112943e-01 2.484825408310820105e+00 -2.838381206609318780e-02 -1.830278770704621069e-02 -8.161082526073608345e-03
2.865000000000000000e+02 4.511339969515430312e+03 1.074534488104430636e+02 -4.165045674605605264e-02 1.111191189248747548e+02 -3.116388814781275718e-01 6.817609249508056024e+00 3.865893311912902558e-02 4.725620890990381295e-02 -2.214991133865661099e-03
3.225000000000000000e+02 3.328155449908424089e+03 1.112896816142870478e+02 1.156807381507032328e+00 1.108259775319941838e+02 4.488304892001655499e-01 1.301178012544823837e+01 -3.407536207259441452e-02 5.128248332774176799e-02 4.267437200326974767e-02
3.585000000000000000e+02 2.310302072950187721e+03 7.522488556157867379e+01 3.787714648669078810e-01 7.398610641220219009e+01 -1.074262951370491326e+00 1.889131073849112852e+01 5.773674466325046106e-02 8.456079773841049252e-02 7.207290013993927769e-02
3.945000000000000000e+02 1.791151821146290331e+03 9.341685575015922893e+00 2.277758368803878053e+00 9.742687663923049968e+00 -9.284999008123121511e-01 2.128428606418041369e+01 3.345076526770648928e-02 -5.444773297594118766e-02 7.283179085640931194e-02
4.305000000000000000e+02 1.805187478443489908e+03 -5.348748697327096124e+01 7.506568698252097382e-01 -5.007526988965519621e+01 6.727903693694470277e-02 1.932010634970676222e+01 -5.451520358311300052e-02 -6.064230144040927417e-02 1.050221595309369094e-01
4.665000000000000000e+02 2.076520637399588850e+03 -7.090326311119736147e+01 -5.646267041102843720e-01 -7.012577655808206600e+01 -1.865857061049862153e+00 1.314901041742289500e+01 5.963337149204435417e-02 2.854154317039075267e-02 6.818333777038865229e-02
