# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
7.050000000000000000e+01 1.978439980366545115e+03 -7.686996244209543860e+00 4.028166743319930854e-01 -7.686996244209543860e+00 4.028166743319930854e-01 3.530241756878262915e-01 1.411871783622628031e-02 1.411871783622627857e-02 -4.411847449220102947e-03
1.065000000000000000e+02 3.056870988918179137e+03 -3.080478794151834165e+01 1.296896141196642649e+00 -3.080478794151834165e+01 1.296896141196642649e+00 9.216747990137916791e-01 -1.373788477764597074e-02 -1.373788477764596727e-02 2.788405560241350584e-02
1.425000000000000000e+02 4.160715146198724142e+03 -4.483106804749421315e+01 1.308731813858915682e+00 -4.483106804749421315e+01 1.308731813858915682e+00 1.056233466599460824e+00 -1.351353655959172152e-02 -1.351353655959171458e-02 -1.166310976827412277e-02
1.785000000000000000e+02 5.290235053272809637e+03 -3.543213538416020469e+01 -4.515916143003493866e-01 -3.543213538416020469e+01 -4.515916143003493866e-01 7.705551928506736425e-01 -8.514201530789473893e-03 -8.514201530789480832e-03 3.071748598627663598e-02
2.145000000000000000e+02 5.604668006321398934e+03 5.837019448805861543e+00 6.863731712433830401e-01 5.837019448805861543e+00 6.863731712433830401e-01 7.337604327431546114e-01 1.003562738579169902e-02 1.003562738579169902e-02 6.232799870908124068e-02
2.505000000000000000e+02 5.499831410134170255e+03 6.363667649638732371e+01 -5.561166515822921763e-01 6.363667649638732371e+01 -5.561166515822921763e-01 2.459421975858715026e+00 -6.056320829936266692e-02 -6.056320829936268774e-02 5.468592830908867303e-03
2.865000000000000000e+02 4.472842878202312022e+03 1.070847479456509177e+02 2.305328242650309944e-01 1.070847479456509177e+02 2.305328242650309944e-01 6.764916887249548871e+00 1.716547751742724531e-02 1.716547751742724184e-02 3.911102299821866274e-02
3.225000000000000000e+02 3.347999768647341625e+03 1.171950250426605749e+02 -3.200257735070841103e-01 1.171950250426605749e+02 -3.200257735070841103e-01 1.327835878070013287e+01 5.061344266976663953e-02 5.061344266976666034e-02 2.691733796142368584e-03
3.585000000000000000e+02 2.350019635749754798e+03 7.438231294028139473e+01 5.999342789626936900e-01 7.438231294028139473e+01 5.999342789626936900e-01 1.907787374517194223e+01 2.598088233801977912e-02 2.598088233801979646e-02 9.567404658514190932e-03
3.945000000000000000e+02 1.762993955306192674e+03 1.282305974951482241e+01 -3.972350255262963037e-01 1.282305974951482241e+01 -3.972350255262963037e-01 2.130244561070260900e+01 5.259009908291295554e-02 5.259009908291293472e-02 7.562538581206516841e-02
4.305000000000000000e+02 1.772592890755460303e+03 -4.881667741765123480e+01 1.167028339872920650e+00 -4.881667741765123480e+01 1.167028339872920650e+00 1.945317668866358218e+01 -5.597659988702126388e-02 -5.597659988702127082e-02 9.508010553257539854e-02
4.665000000000000000e+02 2.093131786023437144e+03 -7.448977017172113335e+01 5.234042640236432620e-01 -7.448977017172113335e+01 5.234042640236432620e-01 1.334173779183677766e+01 -5.883340339861800605e-02 -5.883340339861799217e-02 5.098530050277839260e-02
