# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
2.700000000000000000e+01 1.161521907683070367e+03 2.127619640575642457e+00 5.153921744372867708e-02 1.850007306745009794e+00 5.023229241123885469e-01 3.177176907175346954e-02 5.692548482593970394e-03 4.989678791900832230e-03 -3.799460591645842725e-03
7.050000000000000000e+01 1.903766622846398150e+03 -5.890436598090806442e+00 4.928708933925763924e-01 -5.675452275708053662e+00 1.491672567373739655e+00 3.465982063017441495e-01 -1.049657315238685350e-02 -2.298828836060877109e-02 2.449091034455598559e-02
1.065000000000000000e+02 2.711384873506399344e+03 -2.475607813307879113e+01 -2.877029761011411502e-01 -2.518768823276474933e+01 5.757683206103131335e-01 8.225763698212463781e-01 1.327291945744159089e-02 3.333668307689992109e-03 -6.419202014261587291e-03
1.425000000000000000e+02 4.153053106962393940e+03 -4.426369479467105350e+01 -5.405183753109421563e-01 -4.491766513062203359e+01 -9.153657660328766710e-01 1.111152265132222983e+00 2.062120978499874802e-02 5.589869724689309344e-03 -1.375543902258711398e-02
1.785000000000000000e+02 5.233359680244877381e+03 -3.454463588601699087e+01 4.706490953263142707e-02 -3.561278240424125840e+01 1.498969432578202143e-01 8.353860986617145379e-01 -9.370012659066381810e-03 -1.903754056993917781e-02 -2.051153323916485999e-02
2.145000000000000000e+02 5.587230758042052912e+03 5.056549582643565799e+00 9.687381196691299268e-01 4.956432756291745179e+00 7.436552357300907357e-01 8.317213574925945707e-01 -1.934661168666076611e-02 -3.015482645311978738e-02 1.683233260765439054e-02
2.505000000000000000e+02 5.383024348020659090e+03 6.238538416782947138e+01 -7.702853602134029920e-01 6.236237814083230546e+01 -2.338746263158747452e-02 2.439977514880244946e+00 -2.415296254545518106e-02 -1.320375968115893028e-02 2.625281954418559258e-02
2.865000000000000000e+02 4.591715463248250671e+03 1.157054478881630502e+02 7.421343731700684732e-01 1.146389144343948203e+02 3.766681135305229022e-02 7.242211338932188269e+00 2.378488230893107368e-03 -3.451298050047716531e-02 5.218995421475698671e-02
3.225000000000000000e+02 3.347627623761532504e+03 1.122897087054888345e+02 -8.392752838351580369e-01 1.116857309078202007e+02 1.962323073289463649e-01 1.300590411109420685e+01 -3.049456205127530628e-02 4.459058575356729393e-02 1.144062613580469276e-02
3.585000000000000000e+02 2.366464090409904657e+03 7.664678987037196123e+01 -2.852474247832859078e-02 7.681460762587300906e+01 5.971711955434877428e-01 1.921547571778931029e+01 9.713519447684226815e-03 2.925135362087227797e-02 2.280443057829165815e-02
3.945000000000000000e+02 1.786139764533630569e+03 1.241339493561001106e+01 1.123432443817994342e-01 1.255078266926791564e+01 8.576336535309686537e-01 2.094880099132604556e+01 1.763365988982599358e-02 -9.068530948587985932e-03 6.843294353486312209e-02
4.305000000000000000e+02 1.825205978102720564e+03 -4.922999487628530346e+01 -8.204919162582371417e-01 -4.904048493548685883e+01 -4.016362236835892274e-02 1.901774522955993163e+01 4.727100641821899846e-02 -1.016586957989746784e-02 8.398189606656754347e-02
4.665000000000000000e+02 2.087634905495260682e+03 -7.140794644693647797e+01 2.391141300233143585e-01 -7.208070246990185126e+01 5.415846104849388887e-01 1.329391413960378543e+01 3.489370187364836118e-02 3.133263471379471327e-03 3.368989256479327371e-02
5.025000000000000000e+02 2.459543370489390327e+03 -5.612303240356291667e+01 5.649402457289951496e-01 -5.638561761243755655e+01 8.631896116630928262e-01 8.323902372027035312e+00 5.883545368833807687e-04 3.902905000194987605e-03 8.668657497907572562e-02
5.385000000000000000e+02 2.657605863333331854e+03 -1.292974147099133653e+01 -8.006925811007147287e-01 -1.300672994008869665e+01 -1.337196194169680385e+00 7.323335450449862449e+00 -1.878824269412994116e-02 -3.718304469045592697e-02 2.291146769159071658e-02
5.745000000000000000e+02 2.437987144159406853e+03 2.038351712171987984e+01 -9.598432910353130731e-01 2.044886629095640629e+01 -3.602475925781002397e-01 1.318441707372250704e+01 4.012997443364028916e-02 8.209828030307174049e-03 2.900672069926379937e-02
6.105000000000000000e+02 2.140666160007484905e+03 2.653289778358618634e+01 3.275618921322548394e-01 2.718947278485435959e+01 6.774014030023506328e-02 2.340650019880850863e+01 -2.553349211216073694e-02 -7.654114554816099369e-02 6.961314152796548027e-02
6.465000000000000000e+02 1.869577600183251434e+03 -1.208150639779810120e+01 9.512746751220211294e-01 -1.218842182876923630e+01 4.080073404171077889e-01 3.270952005991875922e+01 -6.576237994793562858e-02 -2.827796116631386969e-02 1.054249654527269209e-01
6.825000000000000000e+02 1.771406188948523322e+03 -6.725711509503508978e+01 1.355572109453232477e-01 -6.807210848237295409e+01 6.348784915297644993e-02 3.681155015554098497e+01 -3.377166052426189280e-03 1.093211428627736681e-01 2.743290349833770250e-02
7.185000000000000000e+02 1.963936582300421833e+03 -1.162607288988148042e+02 -1.642848337069457154e-01 -1.156512774459954329e+02 -1.675409565559847769e-01 3.484013809225571379e+01 1.414056818153534151e-02 -1.018412762160073037e-01 4.267205375950154644e-02
7.545000000000000000e+02 2.263293225457149674e+03 -1.304209290218918511e+02 4.742167757245815407e-01 -1.308882806588881635e+02 5.521056209103231138e-02 2.654861350715378165e+01 -2.778815388433485134e-02 9.254089127053131969e-02 7.011328546987405375e-02
7.905000000000000000e+02 2.499045305821621696e+03 -1.030630715216497038e+02 -6.192621094944298493e-02 -1.029609737019323603e+02 1.492583638353079389e-01 1.731337152204896768e+01 4.732098331816873144e-03 4.236552733786803221e-02 7.868400951698881207e-02
8.265000000000000000e+02 2.522719304360799470e+03 -4.465102245732870045e+01 -9.058843062701400495e-01 -4.453131355408889647e+01 8.975289701492253913e-01 1.301942806409665465e+01 1.542007451961288633e-02 3.755970206089630919e-02 9.259038048404638621e-02
8.625000000000000000e+02 2.321951059476147748e+03 1.878081363147799721e+01 4.132852946076194800e-01 1.823618665799015304e+01 4.839606725034397150e-01 1.509430315971197345e+01 -6.461788207438581844e-02 1.345290878324981870e-02 1.503655801179779039e-01
8.985000000000000000e+02 1.927188069281938624e+03 5.425520216011419450e+01 -3.346317089544592616e-01 5.411007778030905513e+01 -4.625501960617845465e-01 2.335951349819477585e+01 -1.080476214252042329e-02 1.529835174674995871e-02 7.933768886063005676e-02
9.345000000000000000e+02 1.529529169969504892e+03 5.194511898629558289e+01 4.538579889891979913e-01 5.200113283065334002e+01 -1.213100656234033514e-01 3.401721198389668643e+01 7.945729227911618731e-02 3.984728083215244993e-02 1.083254490861889352e-01
9.705000000000000000e+02 1.178554746320859067e+03 1.556187376751609008e+01 2.542322906579317365e-01 1.485773136892323087e+01 -4.826082144121749962e-01 4.028373251120385845e+01 -3.154494673990595327e-02 -1.075767126650902655e-01 5.030119211526847683e-02
1.006500000000000000e+03 1.061666317519088352e+03 -3.438111280674845460e+01 -5.352003736688423219e-01 -3.442703823980263422e+01 -5.506808890276418955e-01 4.177384591111908207e+01 9.253747579700805082e-02 3.856983946991260348e-02 1.576978573039748699e-02
1.042500000000000000e+03 1.079546563249984956e+03 -6.722441993054340514e+01 -9.817074457305116630e-02 -6.734858173638400558e+01 1.690447334406963154e-01 3.480611314433394909e+01 8.108668800208636285e-02 3.234972387253332027e-02 1.373854360293983445e-01
1.078500000000000000e+03 1.159245918441649337e+03 -7.687779309829865326e+01 2.836427329660473062e-01 -7.765622204231488013e+01 2.036728388576852511e-01 2.574620736934800647e+01 1.411931832921736740e-02 6.060542420689333382e-02 1.531157587176343871e-01
1.114500000000000000e+03 1.233115601651631096e+03 -5.968363170393933359e+01 -8.230667361625336742e-01 -5.960112689329835689e+01 3.619416896289713581e-02 1.686992148752140963e+01 1.383789987464630056e-02 -1.334509387257201696e-02 1.031178958161488024e-01
1.150500000000000000e+03 1.208689466854212924e+03 -3.096297939800786025e+01 2.267035473789788536e-02 -3.022541227673401210e+01 -9.933131235041564588e-01 1.345643635836679408e+01 -1.218950925721307421e-01 2.756336272066077162e-02 6.605460873259243193e-02
1.186500000000000000e+03 1.113311886814217587e+03 -3.322859685390889162e+00 2.629645750470818721e-02 -3.521010521301469076e+00 -2.879084900353837129e-01 1.551675869802302543e+01 -4.089402315701477775e-02 5.445092127828936313e-02 1.514757508652070372e-02
1.222500000000000000e+03 9.545224261229276408e+02 6.015668460046475374e+00 -1.159156632209882076e+00 6.138609791773946611e+00 9.943679856032719422e-02 2.170307658556949093e+01 -1.219546827780547543e-01 2.068081835529952256e-02 1.143245107888017920e-01
1.258500000000000000e+03 8.158938073392164370e+02 -5.365892328153421431e+00 2.921017966017958600e-01 -4.392955537765116603e+00 -3.132619717094171918e-02 2.783512103812268990e+01 1.684612594257550167e-01 1.023389116850418890e-01 1.556434200292139969e-01
1.294500000000000000e+03 7.408385711879967630e+02 -2.904444158337771142e+01 6.003311239612245664e-01 -2.893556865092346797e+01 -3.546586864106402448e-01 3.082272704041709233e+01 -1.026582732925053476e-01 -1.442523112653082973e-01 1.383689217673987615e-01
1.330500000000000000e+03 7.335952200742210607e+02 -5.073755421639461360e+01 -1.645722290430782775e-01 -5.116109371245062221e+01 1.177808880414716597e-01 2.859892495970963111e+01 -8.814622858837578567e-03 -5.454643042366873196e-02 8.907654539673891259e-02
1.366500000000000000e+03 7.764524661866834094e+02 -6.068771586572285059e+01 5.083380706112579084e-01 -6.055915580756795435e+01 -3.493246093328677970e-02 2.324852889013295254e+01 -4.988605477599150628e-02 9.578430745559494974e-03 4.504993222095893951e-02
1.402500000000000000e+03 8.192100822159057998e+02 -5.345079128241846433e+01 2.371097858881213161e-01 -5.411043777476430705e+01 5.179060026103465830e-01 1.729757408307726152e+01 8.011236250448184465e-03 -3.742260344441150632e-02 2.047102471880936081e-01
1.438500000000000000e+03 8.146764354368883687e+02 -3.460726653159611033e+01 -1.384027258564962670e-02 -3.444572360091814289e+01 -4.123941750777866955e-01 1.240604162157563195e+01 -5.582149294319685429e-02 -6.959150672711555963e-02 1.484690553325846984e-01
1.474500000000000000e+03 7.709062508218826224e+02 -1.287817172645484831e+01 5.319543150929080255e-01 -1.282981766116905575e+01 3.332380951842786598e-02 1.138167897655288918e+01 -1.903050042849976919e-03 7.785453031687805669e-02 1.088528584880201107e-02
