# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
2.700000000000000000e+01 1.251709950312229694e+03 9.735754364070979827e-01 1.044119420604155524e+00 3.414726986609309733e+00 2.679771777954653267e+00 4.234024325341237405e-02 3.323341323781370260e-03 -1.679474512588748168e-03 2.792702108856356426e-03
7.050000000000000000e+01 2.121297723697326546e+03 -6.369513021897279970e+00 2.437011523702750537e+00 -2.731643265535482534e+00 2.836520738856503687e+00 3.188546447329904110e-01 -4.568190054295548364e-02 1.736646444526038224e-02 5.366087450797519393e-03
1.065000000000000000e+02 2.772021618934270464e+03 -2.816186847056452081e+01 -1.232332086910416180e+00 -2.375179720632274183e+01 -1.440211939386947249e-01 8.051750854018389081e-01 5.126588125658936013e-03 -4.646965372791270199e-02 8.250023235615255163e-03
1.425000000000000000e+02 3.915415926745389243e+03 -4.206428747954210223e+01 -1.575593980564748420e-01 -4.204867965858008461e+01 9.612453663005722238e-01 1.094110163464618424e+00 2.070825557994571131e-02 1.748736166153780358e-02 -2.660301299794644303e-03
1.785000000000000000e+02 5.367239213033739361e+03 -3.652708515856593863e+01 -3.214967906806876830e+00 -3.559641880094325472e+01 -1.452518728224262423e-01 8.173590587314512046e-01 1.811845680861669944e-02 2.034439677780532779e-02 -6.332497118169428535e-03
2.145000000000000000e+02 5.628195226254481895e+03 3.541075583764766055e+00 -2.508901462296910356e+00 3.827015426703372469e+00 1.450543596855817796e+00 8.248793553108155763e-01 6.330181258278440304e-02 4.067635358259863443e-02 3.911309556835732698e-02
2.505000000000000000e+02 5.494375908537253963e+03 6.399597464479361975e+01 2.963030091982482794e+00 6.421420173714992075e+01 1.337436650012734596e+00 2.534692543199930093e+00 7.112767210873602308e-02 -2.082963288011425995e-02 5.987038254740869973e-03
2.865000000000000000e+02 4.456481340616326634e+03 1.115330771127620437e+02 1.036048520400541850e+00 1.105950724756353338e+02 7.058104152990213320e-01 6.823799151639118321e+00 -1.838096616826295771e-02 9.848850630465977307e-03 3.159052531066162267e-02
3.225000000000000000e+02 3.257932973220128588e+03 1.135818724421605168e+02 1.224572739617520778e+00 1.164062663046619832e+02 1.946185029719066373e-02 1.348753981171539706e+01 3.048030578309011973e-03 3.525581725338561984e-02 6.030393034059730595e-02
3.585000000000000000e+02 2.298573854118829331e+03 7.759526087442512221e+01 8.257133709836564917e-01 7.738478221528269785e+01 -2.621299495978751670e-03 1.875140693301042205e+01 -1.584603688985023184e-01 -4.911069627960476525e-02 3.017361848801641822e-02
3.945000000000000000e+02 1.778209561862153350e+03 9.257016206745316111e+00 2.943912192521989102e-01 9.607463020145178945e+00 -2.843102430493815724e-01 2.185254921989646348e+01 1.018393605968396232e-01 -3.698814415604333161e-02 3.051172068154307110e-02
4.305000000000000000e+02 1.757680900864228533e+03 -4.482317829327510594e+01 -6.650278873482209363e-01 -4.534032278721275588e+01 -2.840334243459414765e-01 1.874873372644939096e+01 -5.947709227633300039e-02 -2.608231701461330432e-02 5.202948812554637759e-02
4.665000000000000000e+02 2.095281539820923172e+03 -7.069349865736967331e+01 2.143916478073183973e-01 -6.956390214028937180e+01 -2.556353470918628079e-01 1.309695373371699567e+01 -1.224890749652358668e-01 -1.158620588934643203e-04 4.893073200095105629e-02
5.025000000000000000e+02 2.424854297993734690e+03 -5.306349896260864796e+01 -1.709107526395468257e+00 -5.454620511187739851e+01 4.385491298113448067e-01 7.893256931575358237e+00 3.127655102150090488e-02 -7.073225279687243676e-03 1.083335893047972232e-01
5.385000000000000000e+02 2.647304471393091262e+03 -1.303423642555635098e+01 1.855886716752932486e-01 -1.431017034322503001e+01 7.708074895940972282e-02 7.529217008838749337e+00 -1.242599971378299251e-01 1.265253803265843982e-02 1.016332650004365956e-01
5.745000000000000000e+02 2.426680853629546164e+03 2.327691031684262413e+01 7.423969698598430478e-01 2.277345333343867750e+01 -9.684336620776833326e-01 1.308366206526798159e+01 9.836159918685727366e-02 -4.483915967690464688e-02 1.024179551937562105e-01
