# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
7.050000000000000000e+01 1.922390342350469382e+03 -4.168774468742621586e+00 -3.172111069342652967e-01 -8.015543387385742236e+00 3.381964979186106834e+00 3.167920420892567090e-01 3.782036654863961400e-02 1.802920272267329732e-02 9.992020764352444948e-03
1.065000000000000000e+02 3.169311830156581436e+03 -2.684816817959633539e+01 -1.559599286262101536e+00 -2.889916224482472273e+01 -1.022614093022462090e+00 8.390175656290941308e-01 2.322238073814486894e-02 1.789207230606032484e-02 -2.197113018889122055e-02
1.425000000000000000e+02 4.281490667256336565e+03 -4.351817640434110501e+01 4.785668854863067700e+00 -4.825400651893774295e+01 2.900180456584453559e-01 1.084773408515303128e+00 -4.536476555566382185e-02 -6.869746297800598776e-03 6.872473344606298828e-03
1.785000000000000000e+02 5.165422192671741868e+03 -3.484020362087662193e+01 -9.180265971807722858e-01 -3.129018045290760242e+01 9.879911813506687679e-01 8.678317507379192941e-01 -1.781792195892725056e-02 2.394726417172304833e-02 -2.502996805242945627e-03
2.145000000000000000e+02 5.788053999372123144e+03 4.350949603353265971e+00 -2.997440198709536929e+00 2.432562363296789876e+00 -1.437018849365632178e-01 7.436525601899399707e-01 -4.141443142516150477e-02 -1.195407762251164165e-02 1.251004971397339308e-03
2.505000000000000000e+02 5.252248305981402154e+03 6.543853358382045826e+01 1.090597198023505632e+00 6.151574368952054073e+01 2.932147373049260874e-01 2.552220147415311224e+00 3.692907512298704981e-02 2.127368381260487731e-02 2.495472845357752864e-03
2.865000000000000000e+02 4.604568034555682971e+03 1.098194470933035234e+02 3.535545231224966889e-01 1.096090554488272346e+02 -8.252632798023475935e-01 6.737688550639122198e+00 -1.557352898670387280e-02 3.480039269548980407e-02 2.690605689467206324e-02
3.225000000000000000e+02 3.343597674316776192e+03 1.146047843765171592e+02 -1.760627631471616272e+00 1.144282753359838978e+02 -3.133261629265806647e-01 1.307396133399382165e+01 -7.925370194202854823e-02 -4.078526815074503403e-02 5.459365735244099682e-02
3.585000000000000000e+02 2.277235624706057024e+03 7.804349124470206789e+01 2.196862539237642853e+00 7.884157976558250880e+01 1.891565251287216975e+00 1.911230148889665514e+01 3.483027462426104837e-01 -1.023618849855052054e-02 4.730705583840994627e-02
3.945000000000000000e+02 1.815951593769015744e+03 1.071178323051730708e+01 -7.409833934806495659e-01 6.649093701684903657e+00 4.616113206406474712e-02 2.103835732316026963e+01 -1.566462749262801102e-01 6.849124101058687297e-02 9.665924418506169347e-02
4.305000000000000000e+02 1.757853294670492232e+03 -5.028221977121033603e+01 1.603943997340264271e+00 -5.227213419514318105e+01 -2.329858992504596493e-03 1.917828955264031521e+01 -1.252302136295561918e-01 -1.421742063665766900e-02 9.762099007346422552e-02
4.665000000000000000e+02 2.140141765966005551e+03 -7.336248271926862685e+01 -1.063928457932048488e+00 -7.421050578389528596e+01 2.884039222826155768e-01 1.338187247839742611e+01 6.319640594351125240e-02 -1.247776073057768748e-01 3.807755446343947386e-02
5.025000000000000000e+02 2.435966203324211619e+03 -5.626767098724721450e+01 -3.116332875060865426e+00 -5.631333001467537258e+01 8.670834314099962192e-02 8.222469563904446943e+00 1.440204179647724958e-01 -4.285631113240818447e-03 1.034507260094355979e-01
5.385000000000000000e+02 2.615358048417258942e+03 -1.257753823965486006e+01 -6.371128529373630833e-01 -1.433299312797390357e+01 -3.949576956663566341e-01 7.548210196810208217e+00 -4.749841833013025705e-02 1.583577000543085617e-03 7.572873577328514960e-02
5.745000000000000000e+02 2.421624064818112856e+03 2.088189609794929424e+01 1.885115671347636690e+00 2.145025710052114931e+01 2.082330700495803044e-01 1.289285537118181857e+01 4.753350304312149027e-02 7.456803464558779682e-02 5.672811096541138798e-02
6.105000000000000000e+02 2.139639345151793350e+03 2.729522952092384713e+01 1.864520290881704234e+00 2.450111671810628167e+01 6.385072964846952859e-01 2.253779680464484159e+01 1.004132261420258854e-01 3.115234416294069414e-02 6.045260284070960721e-02
6.465000000000000000e+02 1.879083708154533269e+03 -1.179848729597015478e+01 -7.125813062875401283e-01 -9.751161040595750507e+00 -5.922350281174962872e-01 3.254061144636449399e+01 -1.197645376376579585e-01 1.207288179275001760e-01 6.915129038593681443e-02
6.825000000000000000e+02 1.829493209097730414e+03 -6.900165259061071765e+01 -1.599239622083845624e-01 -6.750304310285798692e+01 4.989664927391338489e-01 3.725098192734126457e+01 5.479212575966957433e-02 -8.974187769292554795e-02 5.143236818083295192e-02
7.185000000000000000e+02 1.964733842887738319e+03 -1.152768807547842158e+02 -6.808452268588469636e-01 -1.161086835170008271e+02 -5.781839403302218017e-01 3.482078855303043952e+01 9.591270623299810727e-02 -6.392225143410462662e-02 5.805520342448231008e-02
7.545000000000000000e+02 2.261592999347707973e+03 -1.313966648788893963e+02 -7.177909095855403709e-01 -1.307501393199003417e+02 -7.407174300944924239e-02 2.681457773471723272e+01 -8.267722333186972028e-02 -8.484233193933457540e-02 4.009482703998042130e-02
7.905000000000000000e+02 2.473948761252919212e+03 -1.053462585554778173e+02 -2.230886618465457882e+00 -1.040211619495499491e+02 -4.450646629221068906e-01 1.761576320921366090e+01 -7.914774610147176648e-02 -7.824055564855995903e-02 7.580278247968015581e-02
8.265000000000000000e+02 2.512902110227219964e+03 -4.133553016337347685e+01 -5.056835027124089166e-01 -4.357317818519870656e+01 -3.875148852890046292e-01 1.271730380377884728e+01 5.704675675793430961e-03 6.639702746088972651e-02 1.261394082219211565e-01
8.625000000000000000e+02 2.274187232433886493e+03 1.707591715630246654e+01 -1.985149292577786273e+00 1.723446118579440167e+01 -5.355973882452468304e-01 1.497819201344310613e+01 9.047753505158415144e-02 -3.458813086572555540e-02 1.533350959155340976e-01
8.985000000000000000e+02 1.953953068032553801e+03 5.835818045215557959e+01 1.043467597133265201e-01 5.708807326330706644e+01 -6.814605938874369606e-01 2.362404950760250344e+01 -1.826885382583350870e-01 -1.092848262581670310e-01 1.074346050625630822e-01
9.345000000000000000e+02 1.521160310370813704e+03 5.260687591223653214e+01 8.086347410245691147e-01 5.052899192806339101e+01 -4.228013145113005411e-01 3.392504496404135494e+01 3.187234798057111962e-02 2.778466440915721564e-02 1.628477905564676143e-01
9.705000000000000000e+02 1.191830655747403853e+03 1.857293423377315378e+01 9.377489322370777813e-01 1.691619445719796389e+01 5.958141066656917895e-01 4.074263716110579026e+01 -2.712682765208618285e-01 1.417409554620449041e-01 6.072707757496344227e-02
1.006500000000000000e+03 1.057822447077895049e+03 -3.217506247119021623e+01 6.206056189229458564e-02 -3.178871953053098665e+01 -1.908660871560179939e-01 4.070952165581046245e+01 1.030107965553681559e-01 -7.760135961136722937e-02 2.333154777869272944e-01
1.042500000000000000e+03 1.070145770673838342e+03 -7.029968002584291753e+01 1.820759428836265625e+00 -6.825049037810214259e+01 4.187185858234379054e-01 3.526632565391701490e+01 1.317696900816522354e-01 -1.141591225309972479e-01 1.727272874933073396e-02
1.078500000000000000e+03 1.162019138325437780e+03 -7.757194054128436278e+01 -1.178268723049090916e+00 -7.930754382206146147e+01 5.326246454133234387e-01 2.570997273857146581e+01 2.560305576554570139e-01 1.135506968816591550e-02 1.064037496646806774e-01
1.114500000000000000e+03 1.246822507500207394e+03 -5.868182712325707939e+01 -4.786981901129319650e-03 -6.050786173279279012e+01 8.135612400635273689e-01 1.704647870405519683e+01 1.745982308115522907e-01 4.372388936003861193e-02 8.047948959719553041e-02
1.150500000000000000e+03 1.223408761433796371e+03 -2.880093558634832718e+01 4.776172342627944545e-01 -2.818277693301573095e+01 -1.390799609114728441e-01 1.352375382285500294e+01 -2.258064873323051558e-01 9.399147074417416037e-02 1.051765657838458212e-01
1.186500000000000000e+03 1.105073859003021425e+03 -3.362494664862625271e+00 2.367830362660425791e-01 -2.931416371805960708e+00 3.578450963968627385e-01 1.585864119786843673e+01 1.767378269972370852e-01 6.992306049964448766e-02 1.931368659311528679e-01
1.222500000000000000e+03 9.528294793495233534e+02 4.741620713235132456e+00 -4.579619692509088180e-01 5.301584359100191435e+00 3.743592382500151583e-01 2.105255195242362021e+01 -8.182987059589753864e-02 1.322587639524858139e-01 2.318218779771025195e-01
1.258500000000000000e+03 8.019206886944422195e+02 -5.191583314154231132e+00 1.043800990361184233e+00 -6.552219429303823617e+00 -2.482196543143810885e-02 2.748979636172038710e+01 -1.960230856548567935e-01 1.453049617847275987e-01 -3.222568656817485777e-02
1.294500000000000000e+03 7.409842972995548962e+02 -2.861471263420468247e+01 1.171312523419272500e+00 -2.943080917234728133e+01 -2.977622047314432141e-02 3.063865944176544787e+01 -2.458602569551685268e-01 3.117572862556069677e-02 1.200593555207201957e-01
